qty_lbs,return,unit_cost_knit,ship_date,created_by,created_dt,roll_number_sort,inspector,bh_sales_order,ship_dt,void_dt,roll_width,knitter,unit_cost_purchase,id,dye_order_line,greige_purchase_order,knit_machine,vendor_roll_number,cost,knit_date,actual_created_dt,qty_lbs_at_creation,inspection_machine,dol_attach_log,greige_summary,roll_number,knit_order,memo_dt,qty_yds,document,sales_order,unit_cost,unit_cost_yarn,bh_customer,knit_version,warehouse
50,,1.70,,,2021-01-20 23:59:59,321860630,03858,,,,63,02247,,60338,,,041,,432.8318165,2021-01-20,2021-01-21 02:46:03.796487,50,07,,541,032186063,935,,82.1,K2101019,,8.65663633,6.95663633,,"{'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'version': 'PHL', 'created_date': '2020-12-09', 'active': 1, 'id': 1919, 'knit_style_base': {'active': 1, 'id': 198, 'foreign_id': 585, 'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '0'}",G00
51.2,,1.70,,,2021-01-20 23:59:59,321860640,03858,,,,63,02247,,60342,,,041,,443.219780096,2021-01-20,2021-01-21 03:01:04.190469,51.2,07,,541,032186064,935,,84.6,K2101019,,8.65663633,6.95663633,,"{'act_yard_cut_wt': '0', 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'active': 1, 'id': 198, 'foreign_id': 585}, 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",G00
54.8,,1.70,,,2021-01-20 23:59:59,321860660,03858,,,,63,01592,,60357,,,041,,474.383670884,2021-01-20,2021-01-21 03:36:08.810807,54.8,07,,541,032186066,935,,89.3,K2101019,,8.65663633,6.95663633,,"{'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50', 'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '72762', 'foreign_id': 585, 'active': 1, 'id': 198}, 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09'}",G00
49.6,,1.70,,,2021-01-21 23:59:59,321860670,03858,,,,63,02505,,60526,,,041,,429.369161968,2021-01-21,2021-01-22 00:21:41.099502,49.6,07,,541,032186067,935,,115.6,K2101019,,8.65663633,6.95663633,,"{'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 585, 'id': 198, 'active': 1}}",G00
49.6,,1.00,,,2021-06-23 23:59:59,339730010,06138,,,,32,06351,,82665,,,075,,313.559296,2021-06-23,2021-06-24 09:31:06.756731,49.6,02,,563,033973001,1409,,74.6,K2106028,,6.32176,5.32176,,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L'}",G00
50.5,,1.00,,,2021-06-23 23:59:59,339730020,06138,,,,32,06351,,83409,,,075,,319.24888,2021-06-23,2021-06-29 08:51:06.060026,50.5,02,,563,033973002,1409,,74,K2106028,,6.32176,5.32176,,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",G00
46.1,,1.00,,,2021-06-23 23:59:59,339730051,06654,,,,31,01005,,83591,,,075,,291.433136,2021-06-23,2021-06-30 05:26:06.134205,46.1,02,,563,133973005,1409,,70.2,K2106028,,6.32176,5.32176,,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'id': 763, 'active': 1}}",G00
52.2,,1.00,,,2021-06-24 23:59:59,339730070,06654,,,,35,06014,,83555,,,075,,329.995872,2021-06-24,2021-06-30 01:51:06.136925,52.2,02,,563,033973007,1409,,78.4,K2106028,,6.32176,5.32176,,"{'roll_size': '50', 'foreign_id': 3163, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0, 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '10.7'}",G00
47.7,,1.00,,,2021-06-24 23:59:59,339730080,06586,,,,31,02482,,82720,,,075,,301.547952,2021-06-24,2021-06-24 13:01:05.619172,47.7,01,,563,033973008,1409,,72.1,K2106028,,6.32176,5.32176,,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L'}",G00
50.2,,1.00,,,2021-06-24 23:59:59,339730090,06636,,,,35,02482,,82810,,,075,,317.352352,2021-06-24,2021-06-24 19:16:21.273337,50.2,08,,563,033973009,1409,,77.5,K2106028,,6.32176,5.32176,,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400'}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",G00
48.8,,1.00,,,2021-06-24 23:59:59,339730110,06654,,,,35,01592,,82839,,,075,,308.501888,2021-06-24,2021-06-25 01:16:04.733695,48.8,08,,563,033973011,1409,,72.5,K2106028,,6.32176,5.32176,,"{'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400'}, 'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09'}",G00
50.9,,1.00,,,2021-06-24 23:59:59,339730140,06654,,,,35,01592,,82843,,,075,,321.777584,2021-06-24,2021-06-25 01:26:08.755651,50.9,08,,563,033973014,1409,,76.1,K2106028,,6.32176,5.32176,,"{'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",G00
57.7,,1.00,,,2021-06-25 23:59:59,339730180,06654,,,,35,01592,,83545,,,075,,364.765552,2021-06-25,2021-06-30 00:51:06.473013,57.7,02,,563,033973018,1409,,86.3,K2106028,,6.32176,5.32176,,"{'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",G00
55.9,,1.00,,,2021-06-25 23:59:59,339730201,06654,,,,35,01592,,83593,,,075,,353.386384,2021-06-25,2021-06-30 05:41:18.480536,55.9,02,,563,133973020,1409,,86.4,K2106028,,6.32176,5.32176,,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",G00
43.6,,1.00,,,2021-06-28 23:59:59,339730231,06138,,,,0,01592,,83441,,,075,,275.628736,2021-06-28,2021-06-29 12:51:23.660815,43.6,02,,563,133973023,1409,,68,K2106028,,6.32176,5.32176,,"{'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}}",G00
