updated_by,quoted_date,qty_G00,uom,requested_date,id,qty_shipped,knitter,job,knit_style_base,close_dt,created_by,note,created_date,internal_notes,sched_done_dt,balance,qty_received,knit_start,sched_enter_dt,seconds,instructions,schedule_status,customer_service_rep,active,ship_to_processor,costing_exception_overridden,modified,knit_price,unit_cost_yarn,machine,knit_version,related_dye_order_plan,sched_done_by,purchase_order,bki,status,ship_to,qty_ordered,serial_number,split_from,sched_enter_by
10,,,lbs,2025-09-19,6633,,1,34475,"{'foreign_id': 5157, 'active': 1, 'id': 3289, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'created_time': None, 'base_style': 'CF5459'}",,10,,2025-09-12 15:07:48.236101,,,2400,0,2025-09-13,2025-09-12 15:07:48.236101,,,Required,1,1,4.0,0,2025-09-12 15:07:48.236101,0.50,0,44,"{'price': '0.50', 'modified': '2025-06-26 16:24:19.368616', 'created_time': '16:01:26.261629', 'target_yard_cut_wt': '10.00', 'roll_size': '50', 'foreign_id': 7893, 'knit_style_base': 3289, 'act_yard_cut_wt': '10.15', 'version': '0', 'created_date': '2024-12-03', 'id': 5875, 'active': 1}",,,,,Open,,2400,K2509038,,10
80,,,lbs,2025-10-01,6632,,1,34425,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'C1B4761A', 'foreign_id': 5395, 'id': 3460, 'active': 1}",,80,,2025-09-11 10:22:37.453194,,,50,0,2025-09-19,2025-09-11 10:22:37.453194,,,Required,16,1,,0,2025-09-11 10:31:21.379265,0.85,2.609,198,"{'foreign_id': 8448, 'roll_size': '50', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'active': 1, 'id': 6289, 'created_date': '2025-08-04', 'version': '2', 'act_yard_cut_wt': '33.55', 'knit_style_base': 3460}",9112.0,,,45485,Open,,50,K2509037,,80
80,,,lbs,2025-10-01,6631,,1,34418,"{'base_style': 'C1B4749A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'foreign_id': 5373, 'active': 1, 'id': 3440}",,80,,2025-09-10 16:14:50.24603,,,50,0,2025-09-17,2025-09-10 16:14:50.24603,,,Required,16,1,,0,2025-09-11 08:44:51.221177,0.85,2.49386,198,"{'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'created_date': '2025-08-04', 'version': '3', 'active': 1, 'id': 6288, 'modified': '2025-08-04 10:38:17.520328', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:38:17.520328', 'roll_size': '50', 'foreign_id': 8447}",9110.0,,,45482,Open,,50,K2509036,,80
80,,,lbs,2025-10-01,6630,,1,34416,"{'base_style': 'C1B4749A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3440, 'active': 1, 'foreign_id': 5373}",,80,,2025-09-10 15:53:34.294514,,,50,0,2025-09-16,2025-09-10 15:53:34.294514,,,Required,16,1,,0,2025-09-12 09:34:14.556517,0.85,2.5027,198,"{'foreign_id': 8446, 'roll_size': '50', 'target_yard_cut_wt': '32', 'created_time': '10:34:45.456161', 'modified': '2025-09-12 09:33:11.950355', 'price': '0.85', 'active': 1, 'id': 6287, 'created_date': '2025-08-04', 'version': '2', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440}",9109.0,,,45481,Open,,50,K2509035,,80
80,,,lbs,2025-10-01,6629,,1,34410,"{'id': 3503, 'active': 1, 'foreign_id': 5450, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE4784A'}",,80,,2025-09-10 13:30:00.507475,,,70,0,2025-09-22,2025-09-10 13:30:00.507475,,,Required,16,1,,0,2025-09-12 09:34:16.506772,1.25,3.192658,205,"{'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'price': '1.25', 'modified': '2025-09-10 16:13:03.803426', 'foreign_id': 8442, 'roll_size': '70', 'act_yard_cut_wt': None, 'knit_style_base': 3503, 'active': 1, 'id': 6283, 'version': '1', 'created_date': '2025-07-31'}",9108.0,,,45480,Open,,70,K2509034,,80
80,,,lbs,2025-09-16,6628,,1,34402,"{'foreign_id': 5490, 'id': 3532, 'active': 1, 'base_style': 'CV4806A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,80,,2025-09-10 11:30:49.244401,,,50,0,2025-09-15,2025-09-10 11:30:49.244401,,,Required,16,1,,0,2025-09-10 13:06:26.310657,1.25,1.66174,15,"{'target_yard_cut_wt': '22.00', 'created_time': '13:01:59.210668', 'modified': '2025-09-10 11:29:25.386043', 'price': '1.25', 'foreign_id': 8536, 'roll_size': '50', 'act_yard_cut_wt': None, 'knit_style_base': 3532, 'active': 1, 'id': 6363, 'created_date': '2025-09-09', 'version': '1'}",,,,45479,Open,,50,K2509033,,80
80,,,lbs,2025-09-16,6626,,1,34399,"{'foreign_id': 5491, 'active': 1, 'id': 3533, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4810A'}",,80,,2025-09-10 11:01:28.554245,,,50,0,2025-09-15,2025-09-10 11:01:28.554245,,,Required,16,1,,0,2025-09-10 11:22:50.864522,1.25,1.66174,15,"{'roll_size': '50', 'foreign_id': 8537, 'price': '1.25', 'modified': '2025-09-10 03:16:55.459887', 'created_time': '15:16:55.719858', 'target_yard_cut_wt': '22.00', 'version': '1', 'created_date': '2025-09-09', 'active': 1, 'id': 6364, 'knit_style_base': 3533, 'act_yard_cut_wt': None}",,,,45477,Open,,50,K2509031,,80
80,,,lbs,2025-09-16,6625,,1,34397,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4809A', 'active': 1, 'id': 3531, 'foreign_id': 5489}",,80,,2025-09-10 10:30:52.018665,,,50,0,2025-09-15,2025-09-10 10:30:52.018665,,,Required,16,1,,0,2025-09-10 11:14:45.846138,1.25,1.66174,15,"{'foreign_id': 8535, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25', 'id': 6362, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3531}",,,,45476,Open,,50,K2509030,,80
80,,,lbs,2025-09-16,6624,,1,34396,"{'id': 3530, 'active': 1, 'foreign_id': 5488, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4812A'}",,80,,2025-09-10 10:18:36.314521,,,50,0,2025-09-15,2025-09-10 10:18:36.314521,,,Required,16,1,,0,2025-09-10 10:27:17.302652,1.25,1.4,15,"{'version': '1', 'created_date': '2025-09-09', 'id': 6360, 'active': 1, 'knit_style_base': 3530, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8533, 'price': '1.25', 'modified': '2025-09-09 14:04:31.181941', 'created_time': '10:55:44.75943', 'target_yard_cut_wt': '22.00'}",,,,45475,Open,,50,K2509029,,80
52,,,lbs,2025-10-08,6623,489,1,34395,"{'foreign_id': 3695, 'id': 2131, 'active': 1, 'base_style': 'CEE2839', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,52,,2025-09-10 09:45:39.868184,,,12011,489,2025-09-10,2025-09-10 09:45:39.868184,,Purple,Required,19,1,,0,2025-09-11 19:56:14.071764,1.25,1.5356,213,"{'active': 1, 'id': 6357, 'created_date': '2025-09-05', 'version': '1DE', 'act_yard_cut_wt': '41.82', 'knit_style_base': 2131, 'foreign_id': 8529, 'roll_size': '250', 'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877', 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25'}",9107.0,,,45474,Open,,12500,K2509028,,52
